Table 9,Monthly fSS(RH)Sea Salt Relative Humidity Adjustment Factor
Class_I_Area,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Great Smoky Mountains NP,4.01,3.57,3.47,3.22,3.82,4.23,4.24,4.37,4.38,4.03,3.81,4.02
Guadalupe Mountains NP,2.82,2.35,1.84,1.64,1.82,1.83,2.36,2.72,2.85,2.01,2.28,2.76
Haleakala NP,3.52,3.43,3.4,3.35,3.25,3.18,3.29,3.27,3.22,3.33,3.52,3.47
Hawaii Volcanoes NP,3.8,3.68,3.71,3.72,3.72,3.69,3.79,3.83,3.79,3.83,4.08,3.8
Hells Canyon Wilderness,4.39,3.81,3.15,2.75,2.63,2.44,1.97,1.9,2.19,3,4.13,4.51
Hercules-Glades Wilderness,3.86,3.51,3.23,3.22,3.66,3.72,3.69,3.73,3.81,3.57,3.65,3.88
Hoover Wilderness,3.66,3.31,3.05,2.53,2.36,2,1.82,1.82,1.96,2.18,2.79,3.34
Isle Royale NP,3.78,3.34,3.28,2.93,2.78,3.31,3.83,3.87,4.06,3.4,4.05,4.04
James River Face Wilderness,3.43,3.19,3.16,2.9,3.46,3.69,3.79,3.97,4,3.61,3.31,3.56
Jarbidge Wilderness,3.65,3.28,2.62,2.69,2.71,2.44,1.95,1.67,1.6,2.01,3.03,3.51
John Muir Wilderness,3.46,3.18,3.07,2.68,2.51,2.17,2.06,2.08,2.2,2.35,2.75,3.12
Joshua Tree NP,2.83,2.76,2.75,2.52,2.53,2.41,2.28,2.53,2.53,2.48,2.32,2.54
Joyce Kilmer-Slickrock Wilderness,4.01,3.58,3.46,3.24,3.81,4.22,4.23,4.35,4.35,4.03,3.82,4.02
Kaiser Wilderness,3.58,3.27,3.08,2.58,2.42,2.1,1.99,2,2.12,2.29,2.75,3.24
Kalmiopsis Wilderness,4.98,4.45,4.28,4.09,3.89,3.66,3.49,3.51,3.6,4.08,4.9,4.96
Kings Canyon,3.4,3.13,3.03,2.66,2.5,2.16,2.05,2.07,2.2,2.33,2.71,3.05
La Garita Wilderness,3.03,2.83,2.41,2.21,2.19,1.86,2.1,2.5,2.42,2.16,2.72,2.93
Lassen Volcanic NP,4.21,3.66,3.33,2.93,2.78,2.5,2.36,2.4,2.51,2.78,3.54,4.02
Lava Beds NM,4.64,4.04,3.68,3.37,3.15,2.89,2.62,2.65,2.82,3.32,4.21,4.56
Linville Gorge Wilderness,3.8,3.52,3.43,3.18,3.8,4.2,4.25,4.51,4.48,3.97,3.67,3.86
Lostwood Wilderness,3.77,3.66,3.67,2.86,2.79,3.07,3.11,2.82,2.8,2.99,3.93,3.95
Lye Brook Wilderness,3.53,3.26,3.27,3.2,3.36,3.48,3.7,3.93,4.04,3.82,3.63,3.61
Mammoth Cave NP,3.99,3.63,3.45,3.5,4.52,5.19,5.08,4.16,4.17,3.81,3.73,4.03
Marble Mountain Wilderness,4.85,4.32,4.16,3.92,3.76,3.53,3.44,3.46,3.51,3.86,4.63,4.78
Maroon Bells-Snowmass Wilderness,2.89,2.82,2.52,2.49,2.45,2.04,2.22,2.57,2.54,2.26,2.71,2.8
Mazatzal Wilderness,2.6,2.4,2.03,1.53,1.42,1.21,1.66,2.06,1.9,1.77,2.1,2.55
Medicine Lake Wilderness,3.79,3.66,3.56,2.8,2.75,2.94,2.93,2.66,2.73,2.95,3.85,3.92
Mesa Verde NP,3.4,3.1,2.61,1.95,2,1.53,2.04,2.45,2.28,2.05,2.69,3.15
Mingo Wilderness,3.92,3.58,3.3,3.19,3.58,3.72,3.8,3.82,3.85,3.61,3.66,3.9
Mission Mountains Wilderness,4.24,3.79,3.38,3.1,3.08,3.04,2.68,2.59,2.96,3.48,4.17,4.26
Mokelumne Wilderness,3.81,3.38,3.04,2.51,2.34,2.02,1.86,1.88,2.02,2.27,2.91,3.52
Moosehorn Wilderness,3.8,3.42,3.32,3.5,3.47,3.6,3.98,4.15,4.31,4.02,3.97,3.99
Mount Adams Wilderness,5.24,4.74,4.34,4.18,3.91,3.66,3.41,3.51,3.93,4.78,5.36,5.44
Mount Baldy Wilderness,2.74,2.5,2.05,1.58,1.5,1.29,1.87,2.28,2.06,1.87,2.26,2.74
Mount Hood Wilderness,5.16,4.67,4.33,4.18,3.87,3.61,3.29,3.38,3.78,4.67,5.29,5.33
Mount Jefferson Wilderness,5.38,4.84,4.55,4.42,4.05,3.74,3.27,3.28,3.63,4.64,5.41,5.46
Mount Rainier NP,5.42,4.92,4.5,4.36,4.13,3.86,3.67,3.76,4.2,5.05,5.56,5.62
Mount Washington Wilderness,5.61,5.03,4.81,4.71,4.24,3.91,3.31,3.25,3.6,4.73,5.59,5.62
Mount Zirkel Wilderness,2.85,2.83,2.61,2.61,2.67,2.24,2.1,2.23,2.38,2.31,2.75,2.78
Mountain Lakes Wilderness,4.89,4.26,3.93,3.67,3.4,3.11,2.82,2.83,3.04,3.67,4.68,4.91
North Absaroka Wilderness,3.18,2.97,2.83,2.66,2.64,2.35,2.02,1.89,2.16,2.53,3.03,3.13
North Cascades NP,5.03,4.65,4.22,4.08,3.88,3.68,3.53,3.7,4.13,4.78,5.24,5.25
Okefenokee Wilderness,4.13,3.83,3.82,3.69,3.85,4.38,4.28,4.51,4.48,4.31,4.18,4.27
Olympic NP,5.27,4.87,4.61,4.51,3.94,4.12,3.76,4.16,4.51,5.17,5.51,5.46
Otter Creek Wilderness,3.63,3.4,3.34,3.06,3.67,3.82,3.98,4.19,4.23,3.78,3.51,3.76
Pasayten Wilderness,5.09,4.67,4.18,4,3.84,3.58,3.45,3.58,3.99,4.71,5.25,5.3
Pecos Wilderness,2.91,2.64,2.25,1.97,2,1.78,2.15,2.57,2.44,2.09,2.56,2.83
Petrified Forest NP,2.93,2.66,2.11,1.66,1.53,1.3,1.81,2.26,2.03,1.91,2.4,2.88
Pine Mountain Wilderness,2.69,2.5,2.11,1.6,1.47,1.24,1.67,2.09,1.92,1.82,2.16,2.62
Pinnacles NM,3.94,3.97,3.99,3.12,2.94,2.67,2.54,2.63,2.65,2.8,2.96,3.36
Point Reyes NS,4.2,3.88,3.72,3.25,3.12,2.88,2.96,3.01,3.05,3.12,3.48,3.9
Presidential Range-Dry River Wilderness,3.6,3.28,3.31,3.36,3.45,3.66,3.92,4.14,4.27,3.99,3.83,3.72
Rawah Wilderness,2.7,2.74,2.58,2.65,2.76,2.36,2.23,2.37,2.45,2.31,2.69,2.66
Red Rock Lakes Wilderness,3.51,3.18,2.91,2.67,2.63,2.41,2.06,1.94,2.2,2.63,3.29,3.46
Redwood NP,4.66,4.38,4.48,4.34,4.41,4.35,4.56,4.59,4.34,4.19,4.51,4.44
Rocky Mountain NP,2.44,2.56,2.47,2.64,2.75,2.37,2.26,2.36,2.41,2.2,2.51,2.41
Roosevelt Campobello International Park,3.82,3.43,3.32,3.52,3.47,3.61,3.96,4.13,4.29,4.02,3.99,4.01
Saguaro NP,2.24,2,1.69,1.21,1.2,1.08,1.67,2.13,1.86,1.65,1.89,2.44
Saint Marks Wilderness,4.18,3.89,3.82,3.76,3.85,4.3,4.49,4.54,4.39,4.19,4.15,4.3
Salt Creek Wilderness,2.72,2.37,1.88,1.77,1.96,1.87,2.15,2.44,2.59,2.12,2.26,2.56
San Gabriel Wilderness,3.12,3.04,3.04,2.77,2.78,2.69,2.69,2.77,2.79,2.74,2.59,2.79
San Gorgonio Wilderness,2.97,3.06,2.93,2.6,2.63,2.28,2.13,2.3,2.31,2.24,2.25,2.55
San Jacinto Wilderness,2.92,2.91,2.91,2.67,2.69,2.55,2.33,2.64,2.64,2.57,2.4,2.6
San Pedro Parks Wilderness,3,2.71,2.25,1.94,1.91,1.66,2.04,2.45,2.33,2.05,2.57,2.88
San Rafael Wilderness,3.49,3.35,3.34,3,2.99,2.9,2.97,3.04,3.09,3,2.86,3.12
Sawtooth Wilderness,4.05,3.53,2.89,2.53,2.44,2.18,1.66,1.61,1.76,2.38,3.55,4
Scapegoat Wilderness,3.97,3.57,3.27,3.04,3.01,2.96,2.6,2.51,2.83,3.3,3.86,3.93
Selway-Bitterroot Wilderness,4.2,3.71,3.21,2.86,2.8,2.66,2.18,2.09,2.39,3.06,3.96,4.2
Seney Wilderness,4.05,3.6,3.6,3.3,3.2,3.58,3.91,4.28,4.3,4,4.19,4.16
Sequoia NP,3.27,3.07,3.1,2.84,2.66,2.21,2.06,2.05,2.21,2.35,2.75,2.93
Shenandoah NP,3.44,3.17,3.17,2.9,3.42,3.66,3.78,3.97,3.98,3.56,3.28,3.62
Shining Rock Wilderness,3.9,3.55,3.43,3.21,3.82,4.22,4.28,4.48,4.48,4.06,3.76,3.92
Sierra Ancha Wilderness,2.62,2.42,2.02,1.53,1.42,1.22,1.73,2.14,1.95,1.81,2.15,2.62
Simeonof Wilderness,4.83,4.85,4.54,4.68,4.83,5.2,5.57,5.72,5.11,4.48,4.62,4.89
Sipsey Wilderness,3.94,3.6,3.36,3.28,3.72,4.06,4.18,4.14,4.13,3.91,3.74,3.96
South Warner Wilderness,4.32,3.75,3.31,2.94,2.77,2.51,2.13,2.15,2.31,2.83,3.71,4.19
Strawberry Mountain Wilderness,4.97,4.37,3.77,3.44,3.28,2.88,2.41,2.38,2.73,3.77,4.82,5.1
Superstition Wilderness,2.49,2.27,1.92,1.44,1.34,1.17,1.64,1.98,1.82,1.69,2.01,2.49
Swanquarter Wilderness,3.52,3.3,3.25,3.09,3.42,3.71,3.88,3.96,3.83,3.67,3.43,3.55
Sycamore Canyon Wilderness,2.78,2.62,2.22,1.68,1.55,1.27,1.67,2.17,2,1.9,2.25,2.69
Teton Wilderness,3.26,3.04,2.83,2.61,2.59,2.27,1.93,1.83,2.14,2.5,3.07,3.21
Theodore Roosevelt NP,3.67,3.56,3.51,2.93,2.97,3.09,2.96,2.72,2.72,2.93,3.75,3.78
Thousand Lakes Wilderness,4.27,3.7,3.38,2.99,2.82,2.52,2.37,2.42,2.53,2.82,3.62,4.08
Three Sisters Wilderness,5.53,4.97,4.74,4.63,4.2,3.89,3.35,3.31,3.65,4.7,5.53,5.56
Tuxedni Wilderness,4.28,4.06,3.53,3.46,3.44,3.64,4.26,4.56,4.51,4.17,4.17,4.37
UL Bend Wilderness,3.44,3.22,3.12,2.79,2.7,2.67,2.42,2.18,2.35,2.77,3.34,3.4
Upper Buffalo Wilderness,3.85,3.47,3.23,3.27,3.72,3.78,3.69,3.7,3.84,3.64,3.67,3.86
Ventana Wilderness,3.91,3.76,3.7,3.08,2.93,2.69,2.69,2.75,2.8,2.87,3.06,3.48
Virgin Islands NP,3.17,3.12,3.04,3.15,3.19,3.17,3.18,3.31,3.3,3.36,3.39,3.28
Voyageurs NP,3.69,3.31,3.2,2.9,2.89,3.46,3.55,3.71,3.87,3.42,3.83,3.8
Washakie Wilderness,3.18,2.98,2.83,2.64,2.62,2.31,1.96,1.85,2.15,2.5,3.04,3.14
Weminuche Wilderness,3.08,2.85,2.39,2.11,2.09,1.77,2.05,2.46,2.36,2.12,2.69,2.95
West Elk Wilderness,3,2.87,2.49,2.36,2.33,1.94,2.1,2.44,2.43,2.2,2.72,2.89
Wheeler Peak Wilderness,3,2.76,2.35,2.11,2.15,1.92,2.17,2.63,2.52,2.18,2.71,2.93
White Mountain Wilderness,2.71,2.37,1.89,1.68,1.76,1.66,2.14,2.46,2.49,2.02,2.25,2.63
Wichita Mountains Wilderness,3.35,3.12,2.91,2.94,3.4,3.21,2.84,3.01,3.32,3.1,3.2,3.4
Wind Cave NP,3.25,3.2,3.13,3.01,3.22,3.06,2.75,2.68,2.63,2.75,3.28,3.24
Wolf Island Wilderness,4.03,3.74,3.66,3.55,3.72,4.2,4.2,4.46,4.42,4.22,4.08,4.15
Yellowstone NP,3.29,3.05,2.87,2.66,2.65,2.39,2.05,1.93,2.21,2.59,3.14,3.25
Yolla Bolly-Middle Eel Wilderness,4.38,3.89,3.66,3.31,3.18,2.92,2.89,2.94,3,3.2,3.84,4.19
Yosemite NP,3.58,3.38,3.23,2.71,2.54,2.08,1.84,1.79,1.93,2.18,2.78,3.25
Zion NP,3.26,3.03,2.44,1.96,1.78,1.44,1.41,1.66,1.67,1.88,2.48,2.98
