Table 8,Monthly fS(RH)Small (NH4)2SO4 and NH4NO3 Relative Humidity Adjustment Factor
Class_I_Area,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Red Rock Lakes Wilderness,3.09,2.76,2.57,2.41,2.38,2.17,1.86,1.77,2.01,2.39,2.96,3.05
Redwood NP,4.81,4.41,4.51,4.27,4.4,4.37,4.73,4.76,4.46,4.24,4.62,4.45
Rocky Mountain NP,2.09,2.24,2.24,2.45,2.62,2.22,2.09,2.15,2.29,2.04,2.23,2.08
Roosevelt Campobello International Park,3.61,3.14,3.16,3.45,3.37,3.49,3.95,4.15,4.36,3.93,3.84,3.85
Saguaro NP,1.99,1.8,1.56,1.18,1.16,1.07,1.51,1.89,1.66,1.54,1.72,2.25
Saint Marks Wilderness,4.24,3.89,3.79,3.72,3.79,4.32,4.56,4.63,4.43,4.19,4.16,4.39
Salt Creek Wilderness,2.57,2.19,1.75,1.67,1.82,1.69,1.93,2.16,2.37,1.94,2.07,2.38
San Gabriel Wilderness,2.94,2.78,2.72,2.41,2.37,2.29,2.32,2.39,2.44,2.44,2.36,2.58
San Gorgonio Wilderness,2.94,2.94,2.74,2.36,2.34,2,1.88,2.02,2.05,2.04,2.1,2.43
San Jacinto Wilderness,2.73,2.65,2.59,2.33,2.3,2.16,2.02,2.26,2.3,2.28,2.19,2.38
San Pedro Parks Wilderness,2.73,2.45,2.1,1.81,1.8,1.55,1.87,2.24,2.16,1.91,2.36,2.65
San Rafael Wilderness,3.38,3.13,3.07,2.68,2.64,2.57,2.66,2.74,2.84,2.77,2.63,2.94
Sawtooth Wilderness,3.78,3.18,2.55,2.2,2.17,1.95,1.51,1.5,1.61,2.11,3.26,3.7
Scapegoat Wilderness,3.7,3.24,2.97,2.79,2.78,2.75,2.41,2.31,2.65,3.09,3.67,3.68
Selway-Bitterroot Wilderness,3.99,3.41,2.9,2.56,2.54,2.43,2,1.93,2.21,2.82,3.78,4.01
Seney Wilderness,3.69,3.1,3.3,3.1,3.03,3.45,3.8,4.27,4.31,3.82,3.97,3.87
Sequoia NP,3.25,2.91,2.87,2.59,2.46,1.97,1.85,1.84,2.02,2.18,2.64,2.85
Shenandoah NP,3.26,2.99,3.02,2.72,3.28,3.46,3.59,3.85,3.91,3.41,3.08,3.44
Shining Rock Wilderness,3.89,3.51,3.37,3.11,3.77,4.22,4.29,4.58,4.6,4.12,3.69,3.88
Sierra Ancha Wilderness,2.38,2.21,1.87,1.46,1.36,1.19,1.6,1.95,1.78,1.69,1.96,2.41
Simeonof Wilderness,4.86,4.88,4.44,4.64,4.92,5.46,6.08,6.35,5.3,4.29,4.52,4.98
Sipsey Wilderness,3.89,3.52,3.23,3.13,3.6,3.99,4.13,4.09,4.12,3.87,3.61,3.89
South Warner Wilderness,4.36,3.67,3.2,2.81,2.64,2.39,2.04,2.07,2.24,2.76,3.71,4.2
Strawberry Mountain Wilderness,5.26,4.45,3.71,3.32,3.18,2.7,2.26,2.24,2.66,3.84,5.11,5.44
Superstition Wilderness,2.25,2.06,1.77,1.38,1.29,1.15,1.52,1.81,1.66,1.58,1.83,2.28
Swanquarter Wilderness,3.31,3.09,3.01,2.78,3.09,3.39,3.57,3.68,3.55,3.4,3.14,3.33
Sycamore Canyon Wilderness,2.52,2.41,2.05,1.59,1.47,1.23,1.53,1.98,1.85,1.77,2.03,2.45
Teton Wilderness,2.78,2.59,2.49,2.37,2.36,2.06,1.75,1.67,1.96,2.28,2.7,2.73
Theodore Roosevelt NP,3.17,3.11,3.22,2.71,2.74,2.85,2.73,2.49,2.48,2.66,3.42,3.37
Thousand Lakes Wilderness,4.34,3.6,3.22,2.79,2.62,2.34,2.26,2.31,2.41,2.69,3.58,4.11
Three Sisters Wilderness,6.22,5.38,5.09,4.92,4.35,3.89,3.21,3.17,3.68,5.02,6.2,6.24
Tuxedni Wilderness,4.11,3.89,3.26,3.14,3.11,3.31,4.13,4.57,4.57,4.04,4.04,4.23
UL Bend Wilderness,2.94,2.75,2.77,2.55,2.44,2.41,2.19,1.97,2.12,2.5,2.96,2.95
Upper Buffalo Wilderness,3.73,3.33,3.03,3.07,3.54,3.57,3.43,3.5,3.71,3.51,3.52,3.74
Ventana Wilderness,3.92,3.69,3.61,2.86,2.69,2.46,2.46,2.55,2.61,2.72,2.89,3.43
Virgin Islands NP,2.41,2.36,2.27,2.39,2.44,2.4,2.43,2.57,2.58,2.63,2.68,2.54
Voyageurs NP,3.16,2.77,2.82,2.59,2.65,3.28,3.25,3.48,3.66,3.02,3.37,3.32
Washakie Wilderness,2.68,2.52,2.49,2.4,2.4,2.09,1.77,1.68,1.98,2.29,2.66,2.65
Weminuche Wilderness,2.8,2.58,2.22,1.97,1.97,1.64,1.89,2.28,2.2,1.97,2.45,2.69
West Elk Wilderness,2.64,2.53,2.24,2.15,2.16,1.79,1.92,2.24,2.26,2.02,2.41,2.53
Wheeler Peak Wilderness,2.72,2.5,2.17,1.97,2.02,1.76,1.98,2.42,2.36,2.01,2.48,2.66
White Mountain Wilderness,2.54,2.19,1.76,1.58,1.65,1.53,1.94,2.2,2.29,1.87,2.07,2.45
Wichita Mountains Wilderness,3.17,2.94,2.69,2.68,3.15,2.86,2.49,2.7,3.07,2.87,2.97,3.2
Wind Cave NP,2.81,2.81,2.86,2.82,3.06,2.81,2.5,2.46,2.44,2.52,2.97,2.83
Wolf Island Wilderness,4.02,3.68,3.58,3.45,3.59,4.17,4.13,4.47,4.46,4.23,4.05,4.18
Yellowstone NP,2.82,2.61,2.53,2.42,2.41,2.16,1.86,1.76,2.02,2.36,2.78,2.8
Yolla Bolly-Middle Eel Wilderness,4.48,3.82,3.53,3.13,3,2.75,2.81,2.87,2.93,3.11,3.84,4.24
Yosemite NP,3.62,3.32,3.13,2.52,2.34,1.89,1.69,1.67,1.78,2.04,2.65,3.22
Zion NP,3.05,2.81,2.26,1.84,1.67,1.37,1.33,1.54,1.58,1.75,2.25,2.72
