Table 7,Monthly fL(RH)Large (NH4)2SO4 and NH4NO3 Relative Humidity Adjustment Factor
Class_I_Area,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Cabinet Mountains Wilderness,3.07,2.73,2.45,2.26,2.24,2.21,1.98,1.92,2.19,2.53,3.03,3.11
Caney Creek Wilderness,2.77,2.53,2.37,2.43,2.68,2.71,2.59,2.6,2.71,2.69,2.67,2.79
Canyonlands NP,2.32,2.16,1.78,1.58,1.51,1.28,1.36,1.53,1.55,1.58,1.93,2.17
Cape Romain Wilderness,2.66,2.47,2.42,2.32,2.56,2.8,2.82,3.04,3.03,2.86,2.65,2.7
Capitol Reef NP,2.36,2.22,1.84,1.63,1.54,1.31,1.36,1.52,1.55,1.61,1.95,2.22
Caribou Wilderness,2.96,2.58,2.35,2.1,2.01,1.85,1.79,1.82,1.88,2.03,2.5,2.82
Carlsbad Caverns NP,2.07,1.81,1.5,1.42,1.51,1.48,1.72,1.9,2.03,1.64,1.76,2
Chassahowitzka Wilderness,3.03,2.82,2.74,2.65,2.63,3,3.02,3.15,3.14,3.03,2.97,3.09
Chiricahua NM,1.87,1.79,1.52,1.24,1.22,1.13,1.64,1.87,1.66,1.45,1.55,1.89
Chiricahua Wilderness,1.84,1.76,1.49,1.22,1.2,1.12,1.64,1.86,1.64,1.43,1.53,1.87
Cohutta Wilderness,2.84,2.61,2.49,2.36,2.72,2.97,3,3.07,3.08,2.89,2.72,2.85
Crater Lake NP,3.71,3.25,3.07,2.91,2.7,2.5,2.31,2.33,2.49,2.99,3.67,3.74
Craters of the Moon NM,2.58,2.34,2.03,1.84,1.83,1.65,1.4,1.39,1.52,1.8,2.35,2.54
Cucamonga Wilderness,2.21,2.14,2.13,1.96,1.95,1.9,1.91,1.96,1.98,1.96,1.9,2.02
Denali NP & Pres,2.48,2.44,2.15,1.96,1.98,2.13,2.47,2.9,2.95,2.84,2.69,2.68
Desolation Wilderness,2.73,2.42,2.18,1.84,1.74,1.56,1.47,1.49,1.58,1.73,2.12,2.54
Diamond Peak Wilderness,3.82,3.38,3.18,3.04,2.79,2.6,2.33,2.35,2.58,3.18,3.8,3.86
Dolly Sods Wilderness,2.53,2.39,2.38,2.2,2.63,2.65,2.74,2.9,2.94,2.65,2.45,2.61
Dome Land Wilderness,2.26,2.07,2,1.79,1.73,1.63,1.61,1.64,1.68,1.71,1.81,2.01
Eagle Cap Wilderness,3.44,3.02,2.54,2.31,2.28,2.01,1.78,1.75,1.97,2.61,3.34,3.56
Eagles Nest Wilderness,2.02,2.01,1.87,1.87,1.92,1.69,1.68,1.83,1.86,1.73,1.96,1.97
Emigrant Wilderness,2.67,2.42,2.26,1.92,1.81,1.59,1.49,1.5,1.58,1.72,2.08,2.45
Everglades NP,2.43,2.31,2.26,2.16,2.15,2.38,2.32,2.49,2.55,2.42,2.34,2.39
Fitzpatrick Wilderness,2.22,2.1,2.04,1.95,1.94,1.68,1.47,1.44,1.68,1.83,2.18,2.16
Flat Tops Wilderness,2.09,2.04,1.87,1.84,1.86,1.62,1.59,1.7,1.79,1.72,1.97,2.03
Galiuro Wilderness,1.8,1.67,1.47,1.21,1.18,1.1,1.43,1.66,1.53,1.42,1.57,1.87
Gates of the Mountains Wilderness,2.46,2.25,2.15,2.05,2.02,2,1.81,1.77,1.91,2.15,2.37,2.41
Gearhart Mountain Wilderness,3.3,2.89,2.62,2.45,2.29,2.13,1.88,1.9,2.03,2.47,3.09,3.27
Gila Wilderness,1.93,1.78,1.52,1.31,1.28,1.23,1.72,1.76,1.68,1.5,1.67,1.96
Glacier NP,3.21,2.84,2.69,2.55,2.58,2.56,2.24,2.22,2.57,2.81,3.08,3.13
Glacier Peak Wilderness,3.69,3.39,2.97,2.85,2.79,2.54,2.49,2.59,2.91,3.45,3.83,3.84
Goat Rocks Wilderness,3.83,3.44,3.1,2.97,2.82,2.6,2.48,2.55,2.88,3.49,3.91,3.98
Grand Canyon NP,2.13,2.01,1.74,1.46,1.36,1.19,1.29,1.49,1.47,1.5,1.75,1.98
Grand Teton NP,2.27,2.14,2.01,1.91,1.9,1.68,1.48,1.44,1.64,1.84,2.16,2.24
Great Gulf Wilderness,2.51,2.32,2.36,2.41,2.45,2.55,2.72,2.87,2.98,2.8,2.67,2.6
Great Sand Dunes NP & Pres,2.11,2.04,1.85,1.77,1.8,1.62,1.7,1.97,1.92,1.72,2.04,2.09
Great Smoky Mountains NP,2.85,2.57,2.51,2.35,2.72,2.98,2.98,3.08,3.1,2.87,2.71,2.85
Guadalupe Mountains NP,2.14,1.82,1.49,1.38,1.48,1.47,1.78,1.98,2.1,1.6,1.78,2.08
Haleakala NP,2.34,2.27,2.25,2.2,2.13,2.09,2.16,2.14,2.1,2.19,2.33,2.3
Hawaii Volcanoes NP,2.56,2.45,2.47,2.47,2.47,2.45,2.53,2.59,2.55,2.57,2.78,2.55
Hells Canyon Wilderness,3.05,2.65,2.22,1.97,1.91,1.81,1.55,1.52,1.68,2.15,2.9,3.15
Hercules-Glades Wilderness,2.7,2.48,2.3,2.3,2.57,2.59,2.56,2.6,2.69,2.54,2.57,2.72
Hoover Wilderness,2.63,2.38,2.21,1.88,1.77,1.56,1.46,1.47,1.55,1.69,2.05,2.42
Isle Royale NP,2.53,2.21,2.26,2.07,1.99,2.32,2.65,2.69,2.82,2.28,2.76,2.74
James River Face Wilderness,2.44,2.3,2.29,2.12,2.47,2.58,2.65,2.78,2.82,2.57,2.36,2.51
Jarbidge Wilderness,2.51,2.28,1.9,1.92,1.97,1.82,1.51,1.37,1.34,1.56,2.14,2.42
John Muir Wilderness,2.51,2.29,2.2,1.95,1.86,1.65,1.6,1.61,1.69,1.78,2.03,2.28
Joshua Tree NP,2.06,1.99,1.97,1.82,1.81,1.74,1.68,1.82,1.83,1.81,1.75,1.87
Joyce Kilmer-Slickrock Wilderness,2.86,2.58,2.51,2.36,2.71,2.97,2.98,3.06,3.08,2.87,2.72,2.85
Kaiser Wilderness,2.58,2.35,2.22,1.9,1.8,1.62,1.56,1.57,1.64,1.75,2.03,2.36
Kalmiopsis Wilderness,3.57,3.17,3.03,2.88,2.75,2.6,2.52,2.53,2.6,2.92,3.51,3.55
Kings Canyon,2.47,2.26,2.18,1.94,1.85,1.65,1.59,1.6,1.68,1.77,2.01,2.24
La Garita Wilderness,2.14,2.03,1.81,1.7,1.69,1.49,1.63,1.87,1.83,1.67,1.98,2.08
Lassen Volcanic NP,2.99,2.61,2.38,2.13,2.03,1.86,1.81,1.84,1.9,2.06,2.54,2.86
Lava Beds NM,3.31,2.88,2.64,2.44,2.29,2.13,1.98,1.99,2.1,2.43,3.03,3.26
Linville Gorge Wilderness,2.71,2.54,2.48,2.31,2.7,2.96,3,3.2,3.19,2.84,2.62,2.74
Lostwood Wilderness,2.51,2.45,2.54,2.06,2.03,2.21,2.23,2.05,2.02,2.13,2.69,2.67
Lye Brook Wilderness,2.46,2.3,2.34,2.31,2.42,2.47,2.6,2.76,2.84,2.7,2.54,2.51
Mammoth Cave NP,2.79,2.57,2.47,2.56,3.29,3.76,3.67,2.92,2.95,2.71,2.61,2.82
Marble Mountain Wilderness,3.48,3.08,2.95,2.78,2.67,2.53,2.5,2.52,2.55,2.78,3.32,3.42
Maroon Bells-Snowmass Wilderness,2.02,1.99,1.84,1.84,1.83,1.59,1.69,1.9,1.89,1.71,1.94,1.96
Mazatzal Wilderness,1.91,1.8,1.59,1.32,1.25,1.13,1.38,1.61,1.51,1.45,1.63,1.89
Medicine Lake Wilderness,2.53,2.46,2.46,2.02,2,2.13,2.12,1.95,1.98,2.1,2.63,2.65
Mesa Verde NP,2.45,2.25,1.98,1.57,1.61,1.31,1.62,1.87,1.75,1.66,2.01,2.3
Mingo Wilderness,2.73,2.52,2.34,2.28,2.53,2.6,2.64,2.67,2.71,2.56,2.56,2.73
Mission Mountains Wilderness,2.93,2.62,2.37,2.2,2.21,2.19,1.98,1.92,2.15,2.46,2.91,2.96
Mokelumne Wilderness,2.72,2.42,2.2,1.86,1.75,1.57,1.48,1.5,1.58,1.73,2.11,2.52
Moosehorn Wilderness,2.65,2.39,2.38,2.52,2.49,2.57,2.83,2.95,3.07,2.83,2.77,2.78
Mount Adams Wilderness,3.78,3.4,3.1,2.98,2.78,2.6,2.43,2.52,2.84,3.45,3.87,3.92
Mount Baldy Wilderness,2,1.86,1.62,1.34,1.29,1.18,1.5,1.73,1.6,1.51,1.73,2.01
Mount Hood Wilderness,3.71,3.33,3.08,2.96,2.74,2.55,2.34,2.42,2.72,3.35,3.81,3.84
Mount Jefferson Wilderness,3.89,3.48,3.27,3.16,2.89,2.66,2.35,2.35,2.63,3.34,3.92,3.95
Mount Rainier NP,3.93,3.54,3.23,3.12,2.96,2.75,2.61,2.69,3.04,3.66,4.04,4.07
Mount Washington Wilderness,4.09,3.63,3.49,3.41,3.06,2.8,2.37,2.34,2.62,3.41,4.07,4.1
Mount Zirkel Wilderness,2,1.99,1.89,1.92,1.98,1.72,1.63,1.7,1.81,1.75,1.97,1.95
Mountain Lakes Wilderness,3.51,3.03,2.8,2.62,2.44,2.25,2.08,2.09,2.23,2.65,3.37,3.52
North Absaroka Wilderness,2.16,2.05,2.01,1.95,1.94,1.77,1.58,1.5,1.67,1.87,2.12,2.14
North Cascades NP,3.6,3.32,2.99,2.88,2.74,2.59,2.49,2.63,2.97,3.43,3.77,3.76
Okefenokee Wilderness,2.94,2.73,2.73,2.65,2.74,3.11,3,3.17,3.16,3.05,2.96,3.03
Olympic NP,3.8,3.5,3.3,3.21,2.76,2.89,2.61,2.94,3.23,3.73,3.99,3.95
Otter Creek Wilderness,2.55,2.41,2.4,2.23,2.64,2.69,2.8,2.96,3,2.69,2.48,2.63
Pasayten Wilderness,3.65,3.34,2.97,2.84,2.72,2.53,2.45,2.56,2.88,3.39,3.78,3.81
Pecos Wilderness,2.09,1.93,1.73,1.57,1.58,1.44,1.65,1.9,1.84,1.63,1.9,2.05
Petrified Forest NP,2.11,1.95,1.64,1.4,1.32,1.18,1.46,1.72,1.58,1.53,1.81,2.09
Pine Mountain Wilderness,1.96,1.86,1.64,1.35,1.28,1.15,1.38,1.62,1.53,1.48,1.66,1.93
Pinnacles NM,2.84,2.86,2.87,2.27,2.15,1.99,1.91,1.97,1.98,2.1,2.16,2.46
Point Reyes NS,2.96,2.73,2.61,2.28,2.2,2.04,2.12,2.16,2.18,2.23,2.47,2.75
Presidential Range-Dry River Wilderness,2.52,2.32,2.37,2.42,2.49,2.61,2.78,2.93,3.03,2.83,2.68,2.59
Rawah Wilderness,1.91,1.96,1.89,1.96,2.04,1.79,1.71,1.78,1.86,1.75,1.94,1.9
Red Rock Lakes Wilderness,2.39,2.2,2.06,1.95,1.92,1.8,1.6,1.54,1.69,1.93,2.3,2.37
Redwood NP,3.31,3.1,3.16,3.04,3.11,3.08,3.26,3.28,3.11,2.99,3.2,3.12
Rocky Mountain NP,1.77,1.85,1.84,1.95,2.04,1.8,1.73,1.77,1.84,1.7,1.84,1.76
Roosevelt Campobello International Park,2.66,2.39,2.38,2.53,2.49,2.57,2.82,2.93,3.05,2.83,2.78,2.79
Saguaro NP,1.69,1.56,1.4,1.13,1.12,1.05,1.37,1.62,1.47,1.38,1.5,1.83
Saint Marks Wilderness,2.98,2.78,2.73,2.69,2.74,3.04,3.17,3.21,3.1,2.96,2.94,3.06
Salt Creek Wilderness,2.01,1.79,1.51,1.45,1.55,1.48,1.64,1.8,1.91,1.64,1.72,1.91
San Gabriel Wilderness,2.25,2.17,2.14,1.96,1.95,1.9,1.91,1.95,1.98,1.97,1.91,2.04
San Gorgonio Wilderness,2.21,2.23,2.13,1.9,1.9,1.69,1.62,1.71,1.72,1.7,1.73,1.92
San Jacinto Wilderness,2.12,2.09,2.06,1.9,1.9,1.81,1.71,1.88,1.89,1.87,1.8,1.92
San Pedro Parks Wilderness,2.14,1.97,1.73,1.55,1.53,1.38,1.59,1.83,1.77,1.61,1.91,2.08
San Rafael Wilderness,2.5,2.37,2.34,2.12,2.1,2.05,2.1,2.15,2.2,2.15,2.07,2.25
Sawtooth Wilderness,2.79,2.44,2.05,1.83,1.8,1.66,1.37,1.35,1.43,1.77,2.47,2.75
Scapegoat Wilderness,2.74,2.47,2.3,2.18,2.16,2.14,1.93,1.87,2.07,2.35,2.7,2.72
Selway-Bitterroot Wilderness,2.9,2.57,2.26,2.05,2.03,1.95,1.67,1.63,1.81,2.19,2.76,2.91
Seney Wilderness,2.75,2.42,2.49,2.35,2.3,2.55,2.75,3.01,3.03,2.78,2.88,2.85
Sequoia NP,2.4,2.22,2.21,2.05,1.95,1.67,1.6,1.59,1.69,1.78,2.04,2.17
Shenandoah NP,2.44,2.28,2.29,2.12,2.45,2.56,2.65,2.79,2.81,2.53,2.34,2.55
Shining Rock Wilderness,2.78,2.56,2.48,2.33,2.72,2.98,3.02,3.17,3.18,2.91,2.68,2.79
Sierra Ancha Wilderness,1.92,1.81,1.59,1.32,1.25,1.13,1.42,1.65,1.54,1.47,1.66,1.93
Simeonof Wilderness,3.39,3.4,3.15,3.26,3.4,3.69,4,4.14,3.61,3.09,3.21,3.44
Sipsey Wilderness,2.79,2.58,2.42,2.36,2.64,2.86,2.94,2.92,2.93,2.78,2.64,2.8
South Warner Wilderness,3.06,2.67,2.39,2.16,2.05,1.9,1.68,1.69,1.79,2.11,2.67,2.97
Strawberry Mountain Wilderness,3.55,3.1,2.69,2.47,2.37,2.1,1.82,1.81,2.05,2.73,3.45,3.65
Superstition Wilderness,1.84,1.72,1.53,1.26,1.2,1.11,1.36,1.56,1.46,1.4,1.58,1.85
Swanquarter Wilderness,2.48,2.35,2.31,2.18,2.38,2.55,2.67,2.72,2.64,2.55,2.4,2.49
Sycamore Canyon Wilderness,2.01,1.93,1.7,1.4,1.33,1.17,1.38,1.67,1.58,1.52,1.7,1.97
Teton Wilderness,2.22,2.09,2.01,1.92,1.91,1.72,1.52,1.47,1.65,1.86,2.15,2.19
Theodore Roosevelt NP,2.47,2.42,2.45,2.12,2.14,2.21,2.14,1.99,1.99,2.1,2.58,2.57
Thousand Lakes Wilderness,3.04,2.63,2.42,2.17,2.06,1.88,1.82,1.85,1.91,2.08,2.61,2.91
Three Sisters Wilderness,4.03,3.59,3.43,3.34,3.02,2.78,2.4,2.38,2.65,3.39,4.02,4.04
Tuxedni Wilderness,2.97,2.83,2.47,2.4,2.38,2.5,2.96,3.19,3.18,2.91,2.91,3.03
UL Bend Wilderness,2.33,2.2,2.19,2.03,1.96,1.95,1.8,1.66,1.76,2,2.31,2.32
Upper Buffalo Wilderness,2.71,2.48,2.31,2.33,2.61,2.64,2.57,2.59,2.71,2.58,2.59,2.72
Ventana Wilderness,2.8,2.67,2.63,2.2,2.1,1.96,1.97,2.01,2.05,2.11,2.21,2.51
Virgin Islands NP,2.04,2,1.94,2.03,2.06,2.04,2.05,2.14,2.14,2.18,2.2,2.12
Voyageurs NP,2.46,2.22,2.22,2.07,2.09,2.46,2.46,2.59,2.7,2.35,2.58,2.55
Washakie Wilderness,2.16,2.05,2.01,1.94,1.93,1.74,1.54,1.48,1.66,1.86,2.12,2.14
Weminuche Wilderness,2.19,2.05,1.81,1.65,1.64,1.44,1.6,1.85,1.79,1.65,1.97,2.11
West Elk Wilderness,2.11,2.04,1.84,1.77,1.77,1.54,1.63,1.83,1.83,1.69,1.96,2.04
Wheeler Peak Wilderness,2.14,2,1.78,1.65,1.67,1.52,1.66,1.94,1.89,1.68,1.98,2.1
White Mountain Wilderness,2,1.79,1.51,1.4,1.44,1.37,1.64,1.82,1.85,1.59,1.72,1.95
Wichita Mountains Wilderness,2.39,2.25,2.1,2.11,2.39,2.24,2.02,2.13,2.35,2.22,2.28,2.41
Wind Cave NP,2.23,2.22,2.22,2.18,2.32,2.18,2,1.97,1.95,2,2.3,2.24
Wolf Island Wilderness,2.86,2.67,2.61,2.54,2.63,2.96,2.94,3.13,3.12,2.99,2.88,2.95
Yellowstone NP,2.24,2.11,2.03,1.95,1.94,1.78,1.59,1.53,1.69,1.91,2.19,2.22
Yolla Bolly-Middle Eel Wilderness,3.12,2.76,2.6,2.37,2.29,2.13,2.14,2.18,2.21,2.33,2.75,2.98
Yosemite NP,2.61,2.45,2.34,1.99,1.88,1.61,1.48,1.46,1.54,1.69,2.06,2.38
Zion NP,2.32,2.18,1.83,1.56,1.45,1.26,1.24,1.38,1.4,1.51,1.84,2.14
