Table 6,Annual Average Natural Conditions - Concentrations and Rayleigh Scattering By Class I Area
Class_I_Area,(NH4)2SO4,NH4NO3,OM,EC,Soil,CM,Sea Salt,Rayleigh,Type 
San Jacinto Wilderness,0.12,0.1,0.6,0.02,0.5,3,0.05,10, Annual 
San Pedro Parks Wilderness,0.12,0.1,0.6,0.02,0.5,2.19,0.01,8, Annual 
San Rafael Wilderness,0.11,0.1,0.6,0.02,0.5,3,0.11,10, Annual 
Sawtooth Wilderness,0.12,0.08,0.6,0.02,0.41,1.64,0.01,10, Annual 
Scapegoat Wilderness,0.12,0.1,0.6,0.02,0.44,2.34,0.01,10, Annual 
Selway-Bitterroot Wilderness,0.12,0.1,0.6,0.02,0.39,1.79,0.02,10, Annual 
Seney Wilderness,0.23,0.1,1.74,0.02,0.26,1.95,0.02,12, Annual 
Sequoia NP,0.11,0.1,0.6,0.02,0.5,3,0.04,11, Annual 
Shenandoah NP,0.23,0.1,1.8,0.02,0.41,2.88,0.02,10, Annual 
Shining Rock Wilderness,0.23,0.1,1.76,0.02,0.5,1.76,0.02,10, Annual 
Sierra Ancha Wilderness,0.12,0.1,0.6,0.02,0.5,3,0.02,10, Annual 
Simeonof Wilderness,0.12,0.1,0.46,0.02,0.13,3,1.26,12, Annual 
Sipsey Wilderness,0.23,0.1,1.8,0.02,0.5,3,0.04,11, Annual 
South Warner Wilderness,0.12,0.1,0.6,0.02,0.44,2.36,0.01,10, Annual 
Strawberry Mountain Wilderness,0.12,0.1,0.6,0.02,0.5,2.99,0.04,10, Annual 
Superstition Wilderness,0.11,0.1,0.59,0.02,0.5,3,0.02,10, Annual 
Swanquarter Wilderness,0.23,0.1,1.63,0.02,0.41,3,0.14,12, Annual 
Sycamore Canyon Wilderness,0.12,0.1,0.6,0.02,0.5,3,0.03,9, Annual 
Teton Wilderness,0.12,0.1,0.6,0.02,0.41,1.92,0.01,9, Annual 
Theodore Roosevelt NP,0.12,0.1,0.6,0.02,0.5,3,0.01,11, Annual 
Thousand Lakes Wilderness,0.12,0.1,0.6,0.02,0.44,1.82,0.01,10, Annual 
Three Sisters Wilderness,0.12,0.1,0.6,0.02,0.26,1.98,0.05,11, Annual 
Tuxedni Wilderness,0.12,0.09,0.6,0.02,0.1,2.06,0.38,12, Annual 
UL Bend Wilderness,0.12,0.1,0.6,0.02,0.45,3,0,11, Annual 
Upper Buffalo Wilderness,0.23,0.1,1.8,0.02,0.5,3,0.03,11, Annual 
Ventana Wilderness,0.12,0.1,0.6,0.02,0.35,3,0.19,11, Annual 
Virgin Islands NP,0.23,0.1,0.35,0.02,0.5,3,0.84,11, Annual 
Voyageurs NP,0.23,0.1,1.75,0.02,0.26,2.73,0.04,12, Annual 
Washakie Wilderness,0.12,0.1,0.6,0.02,0.43,2.84,0.01,9, Annual 
Weminuche Wilderness,0.12,0.1,0.6,0.02,0.49,2.59,0.01,9, Annual 
West Elk Wilderness,0.12,0.1,0.6,0.02,0.48,2.12,0,8, Annual 
Wheeler Peak Wilderness,0.12,0.1,0.6,0.02,0.5,2.29,0.03,8, Annual 
White Mountain Wilderness,0.12,0.1,0.6,0.02,0.5,3,0.03,9, Annual 
Wichita Mountains Wilderness,0.12,0.1,0.6,0.02,0.5,3,0.03,11, Annual 
Wind Cave NP,0.12,0.1,0.6,0.02,0.49,2.98,0.01,10, Annual 
Wolf Island Wilderness,0.23,0.1,1.8,0.02,0.5,3,0.08,11, Annual 
Yellowstone NP,0.12,0.1,0.6,0.02,0.41,1.92,0.01,9, Annual 
Yolla Bolly-Middle Eel Wilderness,0.12,0.1,0.52,0.02,0.42,2.08,0.04,10, Annual 
Yosemite NP,0.12,0.1,0.6,0.02,0.44,3,0.02,10, Annual 
Zion NP,0.12,0.1,0.6,0.02,0.5,3,0.01,10, Annual 
